"ID";"位号";"包";"数量";"名称";"供应商和位号";
1;"J12";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"Conn_01x02";;;
2;"C43";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10nF";;;
3;"REF**,REF**,REF**,REF**";"1pin";4;"1pin";;;
4;"C1,C11,C12,C13,C14,C15,C19,C20,C21,C24,C25,C26,C42";"C_0603";13;"10nF";;;
5;"C2,C3,C4,C5,C7,C36,C37,C38";"C_0805";8;"10uF";;;
6;"C6,C8,C18";"C_0805";3;"1uF";;;
7;"C9,C10";"C_0603";2;"18pF";;;
8;"C16,C17";"C_0603";2;"100nF";;;
9;"C22";"C_0603";1;"6800pF";;;
10;"C23";"C_0603";1;"33nF";;;
11;"C27";"C_0805";1;"470nF";;;
12;"C28";"C_0603";1;"1nF";;;
13;"C29,C34";"C_0603";2;"56pF";;;
14;"C30";"C_0603";1;"3.9pF";;;
15;"C31,C33";"C_0603";2;"160pF";;;
16;"C32";"C_0603";1;"39pF";;;
17;"C35";"CP_Radial_D5.0mm_P2.50mm";1;"100uF";;;
18;"J6";"SMA_OPL_EM";1;"SMA_0_30MHZ";;;
19;"J7";"SMA_OPL_EM";1;"SMA_30_60MHZ";;;
20;"J8";"SMA_OPL_EMPTYHEAD";1;"SMA_VHF2";;;
21;"J9";"SMA_OPL_EMPTYHEAD";1;"SMA_UHF";;;
22;"J10";"SMA_OPL_EMPTYHEAD";1;"SMA_VHF1";;;
23;"J11";"USB_Mini-B";1;"USB_OTG";;;
24;"L1";"L_0805";1;"220nH";;;
25;"L2,L3,L6";"L_0805";3;"330nH";;;
26;"L4";"L_0805";1;"270nH";;;
27;"L5";"L_0805";1;"150nH";;;
28;"R1";"R_0603";1;"510R";;;
29;"R2";"R_0603";1;"390R";;;
30;"U1";"QFN-32-1EP_5x5mm_Pitch0.5mm";1;"msi2500";;;
31;"U2";"QFN-40-1EP_6x6mm_Pitch0.5mm";1;"msi001";;;
32;"Y1";"Crystal_HC50_Vertical";1;"24MHz";;;
33;"J1";"Pin_d0.7mm_L6.5mm_W1.8mm_FlatFork";1;"VCC_GPIO";;;
34;"J2";"Pin_d0.7mm_L6.5mm_W1.8mm_FlatFork";1;"GPIO0";;;
35;"J3";"Pin_d0.7mm_L6.5mm_W1.8mm_FlatFork";1;"GPIO1";;;
36;"J4";"Pin_d0.7mm_L6.5mm_W1.8mm_FlatFork";1;"GPIO2";;;
37;"J5";"Pin_d0.7mm_L6.5mm_W1.8mm_FlatFork";1;"GPIO3";;;
38;"C39,C41";"C_0805";2;"1UF";;;
39;"D5";"D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp";1;"LED";;;
40;"R3";"R_0603";1;"512";;;
41;"C40";"C_0603";1;"22nF";;;
42;"R4,R5,R6,R7,R8";"R_0603";5;"10K";;;
43;"U3";"SOT-23-5";1;"RT9193-28";;;
44;"U4";"SOT-23";1;"AP7313-30SAG";;;
45;"Y2";"Crystal_SMD_7050-4pin_7.0x5.0mm";1;"24MHZ";;;
46;"D1,D2";"SOT-23";2;"BAV99LT1G";;;
47;"REF***";"KiCad-Logo2_6mm_SilkScreen";1;"KiCad-Logo2_6mm_SilkScreen";;;
48;"REF***";"WEEE-Logo_5.6x8mm_SilkScreen";1;"WEEE-Logo_5.6x8mm_SilkScreen";;;
