"ID";"位号";"包";"数量";"名称";"供应商和位号";
1;"J10";"SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount";1;"SMA_VHF1";;;
2;"J8";"SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount";1;"SMA_VHF2";;;
3;"Y2";"Crystal_SMD_7050-4Pin_7.0x5.0mm";1;"24MHZ";;;
4;"Y1";"Crystal_HC50_Vertical";1;"24MHz";;;
5;"U4";"SOT-23";1;"AP7313-30SAG";;;
6;"U3";"SOT-23-5";1;"RT9193-28";;;
7;"U2";"QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm_ThermalVias";1;"msi001";;;
8;"U1";"QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias";1;"msi2500";;;
9;"R8,R7,R6,R5,R4";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";5;"10K";;;
10;"R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"512";;;
11;"R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"390R";;;
12;"R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"510R";;;
13;"L6,L3,L2";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"330nH";;;
14;"L5";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"150nH";;;
15;"L4";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"270nH";;;
16;"L1";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"220nH";;;
17;"J11";"USB_Micro-B_Wuerth_629105150521";1;"USB_OTG";;;
18;"J9";"SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount";1;"SMA_UHF";;;
19;"J7";"SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount";1;"SMA_30_60MHZ";;;
20;"J6";"SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount";1;"SMA_0_30MHZ";;;
21;"J5";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";1;"GPIO3";;;
22;"J4";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";1;"GPIO2";;;
23;"J3";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";1;"GPIO1";;;
24;"J2";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";1;"GPIO0";;;
25;"J1";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";1;"VCC_GPIO";;;
26;"D5";"D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp";1;"LED";;;
27;"D2,D1";"SOT-23";2;"BAV99LT1G";;;
28;"C43,C42,C26,C25,C24,C21,C20,C19,C15,C14,C13,C12,C11,C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";14;"10nF";;;
29;"C41,C39";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"1UF";;;
30;"C40";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"22nF";;;
31;"C38,C37,C36,C7,C5,C4,C3,C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";8;"10uF";;;
32;"C35";"CP_Radial_D5.0mm_P2.50mm";1;"100uF";;;
33;"C34,C29";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"56pF";;;
34;"C33,C31";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"160pF";;;
35;"C32";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"39pF";;;
36;"C30";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"3.9pF";;;
37;"C28";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1nF";;;
38;"C27";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"470nF";;;
39;"C23";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"33nF";;;
40;"C22";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"6800pF";;;
41;"C18,C8,C6";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"1uF";;;
42;"C17,C16";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"100nF";;;
43;"C10,C9";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"18pF";;;
44;"J12";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"Conn_01x02";;;
45;"REF**,REF**,REF**,REF**";"1pin";4;"1pin";;;
